Category,Key,Value,Extra,Comment
Program,j1o2qRpjcyUwEvwtcfhEQefh773ZgjxcVRry7LDqg5X,Jupiter,,
address,86r3a2h7UqyzVgWFuSWa59Eaqzo8BhomREGNpuUeoVEu,tdccpmeme.pw,,
address,FGweDVvtxUxZDq1xQ2JArUpDvchcy1R2Xkv88FuGHW2F,Airdrop recipient,,
address,4oYohMzn8UdtmCVDa5r51yPSPxj5WboHQaGx3qPveSAx,Airdrop recipient,,
address,7uWyC9aPTrqRVscxB5faXaaiTKH85WAAMvvcHaD5j9eN,Airdrop recipient,,
address,G3A4rHWfg3UVU4bBwwEkyLnunZDkfLVwBzpkop1AaQrg,Airdrop recipient,,
address,EWv79X5oTDToitZirExhoNTCaW7ZqmqVhGQgd4Smjk7M,Airdrop recipient,,
address,5X9izrp8KuJ2rSs5NpUkCF7rGmKzxPNpCarpFVa5Hj8k,Airdrop recipient,,
address,C4QvGvFbr9yL8rMA4hnqoi6s2R44EFPK3xnowRvzGZgW,Airdrop recipient,,
address,BwYP6SprFFvCwJdv3AcuCb3oj16B41UJTHWj9EWjouZt,Airdrop recipient,,
address,2j8ZmuFQBT6zZu9V2rcq9RdqKkBzRcD1oBtpNPYvecxw,Airdrop recipient,,
address,79wJVS189sAm5cwTXWkrcagVRg4LGM3hupJncAsiw5n1,Airdrop recipient,,
address,BYKZjNd2KStiWYNFiGX5K9ZaMeNzgKEZGpQSrgvKN4UY,Airdrop recipient,,
address,FdqDUtLBpEgPBGrHtAcoaD3JvUaG1FpJJZKWtJsUz5KT,Airdrop recipient,,
address,H4Sb48y2Jkqwd9fTXYF8ZXvbkmeR4PTcNuPW9g8xj6Aa,Airdrop recipient,,
address,EWTvi8Z3EgLZwxpcRW9s4pD1iN3sbXvaQWawN6X4HHtX,Airdrop recipient,,
address,6MJc18fP86AmdbDsFpJ7C7H7hbPYChhqGg28o5u7inRZ,Airdrop recipient,,
address,8WV1csz2fUCoq4MXrBpRoMKLRmG3RtVscBpH7HB5kPnw,Airdrop recipient,,
address,2ZgwLnL3Fb4yFwJUNq5xjasc8vAoZi7sX6sh19p793V5,Airdrop recipient,,
address,HjWf2KBuACXQHunLCeWbi36sGKGjg3sZ33Q9E5DsNTTb,Airdrop recipient,,
address,29gRUeWhNpEdWm5a8qi4cAt9bzt6TGYeb6uw3L4aw7bE,Airdrop recipient,,
address,7G7ncMRBQnfCGCHmxeujgcGenhF7UpnTvMNtByzkrnYQ,Airdrop recipient,,
address,9KXScmfFsbtE1MBpFxoYA5Z5QvRJJFL63h3GVdx1SsZV,Airdrop recipient,,
address,GJG1mPa9wrK9fPjmNxbgRafi3AHRPTkxsniUeGzWZakF,Airdrop recipient,,
address,JC1ccNTuJAqAZay8UkFukNgoKiLjhPvHH2WtpXdbgu3K,Airdrop recipient,,
address,3Zi3Q5FUAaxEpYdNqEchXwBugKKKC1Aic7G7TLTP9b8C,Airdrop recipient,,
address,BRbDQjdfsNVw69XuqkyoWRupHVKxDqQyQN9QFKs4MZkP,Airdrop recipient,,
address,9tEAHTZUovSZAMmQApjFHbAzDbkAXzBHPuBJ2oMvWMkk,Airdrop recipient,,
address,AmPthku2jFKpAJYFuYXPCuRZ8Refgvd4PvALFkdkthFD,Airdrop recipient,,
address,57rWCs3kApFego3qT78aWfSzWyBpY67n7wD3pT7KPRSb,Airdrop recipient,,
address,3tRU8pgrhiB3bL9DK3YHKvbH968VbHFnLSXRrg1YkUQp,Airdrop recipient,,
address,EB8k1Exz1SY8kMVAV7XPZczXfEKJF9Ztg7bSKd5hsQaP,Airdrop recipient,,
address,AQ791KMWnizBnic38bKGSdKipByHfjk9BiKcL4jVSiR4,Airdrop recipient,,
address,2qvGHgPiTWamhjb8FXRZnj8gWwbaGawWxzMN72hWmjFa,Airdrop recipient,,
address,3715NrKjLBXMuUhRMe7d2exPM2taqnpvb2yY13aqtERv,Airdrop recipient,,
